BREITE;LAENGE;UNDULATION;EPSG_3D
46.4500000;14.1250000;48.314;4937
46.4500000;14.1666667;48.339;4937
46.4500000;14.2083333;48.334;4937
46.4500000;14.2500000;48.300;4937
46.4500000;14.2916667;48.300;4937
46.4500000;14.3333333;48.310;4937
46.4500000;14.3750000;48.339;4937
46.4500000;14.4166667;48.367;4937
46.4500000;14.4583333;48.351;4937
46.4500000;14.5000000;48.319;4937
46.4500000;14.5416667;48.303;4937
46.4500000;14.5833333;48.281;4937
46.4500000;14.6250000;48.291;4937
46.4500000;14.6666667;48.311;4937
46.4500000;14.7083333;48.310;4937
46.4500000;14.7500000;48.268;4937
46.4500000;14.7916667;48.186;4937
46.4500000;14.8333333;48.087;4937
46.4750000;13.4583333;48.946;4937
46.4750000;13.5000000;48.926;4937
46.4750000;13.5416667;48.906;4937
46.4750000;13.5833333;48.860;4937
46.4750000;13.6250000;48.836;4937
46.4750000;13.6666667;48.816;4937
46.4750000;13.7083333;48.803;4937
46.4750000;13.7500000;48.782;4937
46.4750000;13.7916667;48.757;4937
46.4750000;13.8333333;48.722;4937
46.4750000;13.8750000;48.666;4937
46.4750000;13.9166667;48.588;4937
46.4750000;13.9583333;48.533;4937
46.4750000;14.0000000;48.485;4937
46.4750000;14.0416667;48.416;4937
46.4750000;14.0833333;48.364;4937
46.4750000;14.1250000;48.338;4937
46.4750000;14.1666667;48.316;4937
46.4750000;14.2083333;48.302;4937
46.4750000;14.2500000;48.268;4937
46.4750000;14.2916667;48.261;4937
46.4750000;14.3333333;48.258;4937
46.4750000;14.3750000;48.286;4937
46.4750000;14.4166667;48.322;4937
46.4750000;14.4583333;48.321;4937
46.4750000;14.5000000;48.298;4937
46.4750000;14.5416667;48.260;4937
46.4750000;14.5833333;48.220;4937
46.4750000;14.6250000;48.237;4937
46.4750000;14.6666667;48.289;4937
46.4750000;14.7083333;48.318;4937
46.4750000;14.7500000;48.287;4937
46.4750000;14.7916667;48.204;4937
46.4750000;14.8333333;48.082;4937
46.4750000;14.8750000;47.990;4937
46.5000000;13.1250000;49.051;4937
46.5000000;13.1666667;49.053;4937
46.5000000;13.2083333;49.037;4937
46.5000000;13.2500000;49.023;4937
46.5000000;13.2916667;48.971;4937
46.5000000;13.3333333;48.968;4937
46.5000000;13.3750000;48.973;4937
46.5000000;13.4166667;48.976;4937
46.5000000;13.4583333;48.970;4937
46.5000000;13.5000000;48.946;4937
46.5000000;13.5416667;48.919;4937
46.5000000;13.5833333;48.861;4937
46.5000000;13.6250000;48.812;4937
46.5000000;13.6666667;48.791;4937
46.5000000;13.7083333;48.777;4937
46.5000000;13.7500000;48.759;4937
46.5000000;13.7916667;48.736;4937
46.5000000;13.8333333;48.711;4937
46.5000000;13.8750000;48.678;4937
46.5000000;13.9166667;48.623;4937
46.5000000;13.9583333;48.568;4937
46.5000000;14.0000000;48.496;4937
46.5000000;14.0416667;48.410;4937
46.5000000;14.0833333;48.331;4937
46.5000000;14.1250000;48.270;4937
46.5000000;14.1666667;48.231;4937
46.5000000;14.2083333;48.226;4937
46.5000000;14.2500000;48.204;4937
46.5000000;14.2916667;48.174;4937
46.5000000;14.3333333;48.187;4937
46.5000000;14.3750000;48.234;4937
46.5000000;14.4166667;48.266;4937
